iterations,fitness,time
0,2361.22603652,0.001873889
1,2552.62950668,0.002204076
2,2552.62950668,0.002515641
3,2538.70610057,0.002843375
4,2433.67253938,0.003069879
5,2447.23040709,0.003216352
6,2421.40602211,0.00335465
7,2509.10206655,0.003488084
8,2438.75214071,0.0036103
9,2449.80736975,0.003737833
10,2421.94770853,0.003861062
11,2395.02548364,0.003979821
12,2501.42463649,0.004102477
13,2453.41686588,0.004219412
14,2538.91699814,0.004344928
15,2595.90318042,0.00448432
16,2621.85644706,0.004601165
17,2621.85644706,0.004719555
18,2630.2834872,0.004838908
19,2765.66794613,0.004956425
20,2685.12056586,0.005080714
21,2664.64470571,0.005195304
22,2709.32046654,0.005315862
23,2748.28958351,0.005434004
24,2730.46411475,0.005558745
25,2901.2621243,0.005676148
26,2901.2621243,0.005792757
27,2978.08623844,0.005915059
28,3021.54829216,0.006074428
29,3021.54829216,0.006213005
30,3095.69970153,0.006339585
31,3138.73427648,0.006473148
32,3138.73427648,0.006587497
33,3152.65768259,0.006703335
34,3138.73427648,0.006862265
35,3111.27293453,0.006985236
36,2844.17114481,0.007105585
37,2870.40350953,0.007221796
38,2918.90429354,0.007338661
39,2988.20083037,0.007464561
40,2995.0966289,0.007581952
41,2998.39698323,0.007695394
42,2908.40961872,0.007812122
43,2945.4422921,0.007931097
44,2818.35039242,0.008064592
45,2980.99479575,0.008181426
46,2980.99479575,0.00830044
47,2945.65465397,0.008466143
48,2865.79694291,0.008669608
49,2923.30646183,0.008874273
50,2943.23353155,0.009192434
51,2968.26397353,0.009455569
52,2923.30646183,0.009617074
53,2923.30646183,0.009737712
54,2872.57914606,0.009858202
55,2889.4222032,0.009976246
56,2917.30967907,0.010117367
57,2955.87935386,0.010236157
58,2955.87935386,0.010357338
59,2981.62607839,0.010482435
60,2899.9398011,0.010603575
61,3010.98900116,0.010724044
62,3014.07766258,0.01084493
63,3010.98900116,0.010966574
64,3038.69135047,0.011100035
65,3071.96683596,0.011219175
66,2936.82545627,0.011342305
67,2965.93252528,0.01146384
68,2915.22033961,0.011597873
69,2924.46312709,0.011715622
70,2923.78282769,0.011840445
71,2916.99464115,0.012011642
72,2999.64470027,0.012132809
73,2959.72193296,0.012249959
74,2982.67062095,0.012381851
75,2982.67062095,0.012503307
76,2982.67062095,0.012622371
77,2976.26696022,0.012750054
78,2976.26696022,0.012868276
79,2976.26696022,0.012989169
80,2939.65183762,0.01310823
81,2979.71182623,0.013228145
82,2956.0443457,0.013345731
83,2939.65183762,0.013498562
84,2941.55999868,0.013623786
85,2941.55999868,0.013757767
86,2941.55999868,0.013877787
87,3002.2651961,0.013996556
88,2987.08228029,0.014113046
89,2950.18705586,0.014241418
90,2894.70724375,0.014380736
91,2948.43146628,0.014497961
92,2955.05655052,0.014609105
93,3024.81688059,0.014722387
94,2991.83686879,0.014825783
95,2991.83686879,0.014937288
96,2956.20756316,0.015045286
97,2983.79458829,0.015156818
98,3145.86194576,0.015266822
99,3059.78080977,0.015372374
100,2996.53447484,0.01549238
101,2964.64486749,0.015605421
102,2926.41271624,0.015719448
103,2973.19654593,0.015826233
104,2968.21630188,0.01597235
105,2965.12331611,0.016088212
106,2965.12331611,0.016195034
107,2901.3155288,0.016305542
108,2983.96109294,0.016490854
109,3004.7033136,0.016585558
110,3004.7033136,0.0166751
111,2942.16489833,0.016776552
112,2885.42660892,0.016870027
113,2937.04952969,0.016964232
114,2991.43634745,0.017054701
115,2997.01799322,0.017153766
116,2997.01799322,0.01724498
117,3018.21443285,0.01734079
118,3064.96166927,0.017433492
119,3064.96166927,0.017529409
120,3064.96166927,0.017603838
121,2910.05603901,0.017692259
122,2884.99164375,0.017786591
123,2852.2213675,0.017868554
124,2848.28215995,0.017948126
125,2885.52028281,0.018024759
126,2891.67313771,0.018099259
127,2905.51436344,0.018172998
128,2905.51436344,0.018245402
129,2940.85066197,0.018320046
130,2923.78853091,0.018391813
131,2923.78853091,0.018485974
132,2952.14436261,0.018574991
133,2912.61137342,0.018648687
134,2955.45800905,0.018746947
135,2973.19662001,0.018819739
136,2877.90373628,0.018897296
137,2889.70008432,0.018970398
138,2961.67558197,0.019043132
139,2934.48042941,0.019120189
140,2939.49382228,0.019192807
141,2944.74115713,0.019270209
142,2976.320788,0.019344003
143,2944.74115713,0.019417936
144,2905.03449638,0.019489198
145,2933.52758752,0.019562947
146,2995.54915354,0.019638084
147,2933.08696181,0.019710177
148,3012.74744426,0.019782941
149,2931.83043844,0.019878097
150,2931.83043844,0.019952064
151,3042.17639632,0.020026447
152,3039.35861177,0.020099659
153,3010.68623674,0.020173343
154,3013.5486552,0.020242614
155,2928.06207239,0.02031698
156,3003.85083402,0.020393229
157,3003.85083402,0.020466856
158,3026.13353732,0.020539445
159,3048.16778015,0.020612704
160,3031.02760934,0.020687937
161,3031.02760934,0.020760589
162,3051.59478565,0.020833367
163,3051.59478565,0.02092619
164,3051.59478565,0.021028114
165,3051.59478565,0.021103156
166,3031.82552773,0.02117697
167,3031.82552773,0.021254333
168,2994.42382754,0.021331163
169,2994.42382754,0.021414959
170,3083.11759185,0.021504832
171,3002.07761374,0.021593721
172,3186.95396009,0.021665404
173,2942.6731816,0.021742545
174,3051.01661963,0.021814186
175,2972.9396211,0.021890205
176,2972.9396211,0.021961865
177,3092.51401502,0.022032787
178,3001.82858015,0.0221022
179,2984.83029706,0.022176117
180,2998.61990473,0.022275404
181,3025.8580748,0.022344728
182,3065.70918621,0.022414454
183,3065.70918621,0.022486796
184,3115.58920565,0.022557981
185,3115.58920565,0.022628848
186,3115.58920565,0.022699106
187,3050.19284304,0.022786617
188,3048.10505635,0.022860281
189,3170.60610238,0.022932912
190,3101.90429857,0.023007823
191,3101.90429857,0.023082639
192,3101.90429857,0.023151453
193,3088.68106778,0.023219219
194,3103.93914637,0.023321868
195,3045.45018867,0.023404362
196,3097.99304174,0.023479611
197,3097.99304174,0.02356803
198,3095.29108732,0.023663671
199,3058.94176106,0.023764309
200,3015.71806803,0.023872695
201,3168.44717721,0.023972064
202,3065.55232081,0.024067841
203,3002.18013219,0.024204428
204,3035.09554782,0.024356073
205,3224.62206523,0.024450292
206,3196.36415374,0.024642219
207,3127.6200116,0.024736982
208,3199.64605539,0.024809325
209,3174.04320217,0.024891571
210,3174.04320217,0.024962714
211,3188.84846386,0.025033352
212,3188.84846386,0.025105137
213,3222.58576335,0.025176987
214,3222.58576335,0.02524841
215,3222.58576335,0.025322626
216,3105.94193716,0.025394627
217,3229.18598078,0.025465577
218,3204.1834603,0.025535133
219,3140.02723073,0.025606747
220,3146.02976442,0.025677527
221,3146.02976442,0.025748291
222,3146.02976442,0.025831538
223,3125.59748163,0.025918761
224,3127.06386599,0.026006616
225,3127.06386599,0.026078035
226,3161.12707102,0.026149438
227,3185.56333317,0.026225498
228,3216.4502727,0.026309685
229,3216.4502727,0.026381694
230,3054.70653775,0.026460901
231,3081.71954381,0.026531928
232,3042.1106948,0.026601176
233,3100.33817604,0.026671972
234,3075.57468942,0.026741185
235,3225.27426049,0.026811704
236,3123.37280061,0.026893404
237,3123.37280061,0.026971681
238,3149.76679587,0.02706553
239,3173.74514296,0.027140046
240,3176.13885978,0.027209926
241,3176.13885978,0.027281175
242,3153.10121439,0.027351133
243,3153.10121439,0.027421256
244,3272.9460695,0.027491224
245,3275.56202435,0.027566982
246,3166.78679423,0.027639179
247,3158.90552232,0.027711966
248,3214.94368331,0.027783754
249,3101.38513117,0.027863955
250,3186.8526748,0.027937656
251,3330.94787947,0.028022601
252,3330.94787947,0.028101975
253,3330.94787947,0.028171568
254,3284.09558738,0.02825555
255,3284.09558738,0.028326868
256,3173.15216056,0.028397535
257,3236.85687958,0.028466533
258,3293.5195744,0.028537033
259,3181.13336909,0.028606653
260,3150.87346329,0.028680695
261,3129.98062507,0.028750256
262,3129.98062507,0.028820114
263,3191.27747346,0.028891246
264,3195.62583183,0.028973634
265,3122.89524564,0.029044473
266,3268.79295853,0.029114943
267,3154.82059396,0.029190174
268,3153.71731125,0.029260949
269,3154.98102311,0.029335242
270,3328.52226166,0.029404634
271,3328.52226166,0.029478293
272,3328.52226166,0.029549013
273,3302.11638811,0.029622243
274,3139.50722177,0.029692342
275,3149.79152029,0.029766543
276,3190.88277168,0.029836707
277,3216.67726598,0.029906185
278,3303.41401513,0.029977831
279,3258.49296769,0.030047805
280,3274.67106004,0.030130015
281,3274.67106004,0.030222445
282,3258.49296769,0.030320941
283,3293.27882956,0.030390144
284,3175.30079326,0.030474607
285,3174.15217642,0.030546067
286,3203.22854921,0.030617189
287,3203.22854921,0.030686977
288,3250.45686809,0.030758814
289,3278.39840524,0.030830127
290,3175.70916406,0.03089971
291,3167.84552899,0.030969301
292,3187.80751416,0.031039461
293,3212.08843877,0.031107633
294,3253.40382116,0.0311785
295,3181.57289123,0.031260859
296,3196.11141458,0.031330798
297,3166.21648724,0.031404102
298,3219.48812097,0.03147347
299,3230.43778837,0.031547945
300,3221.81317907,0.031621639
301,3180.90097077,0.031691881
302,3181.75555291,0.031759011
303,3179.52964308,0.031829418
304,3282.41206507,0.031899775
305,3278.7332064,0.031967717
306,3278.7332064,0.032042316
307,3226.73537169,0.032113143
308,3354.93579312,0.032182214
309,3258.35764797,0.032252226
310,3321.3625589,0.032325675
311,3275.96304813,0.03239527
312,3270.42532041,0.032465574
313,3270.42532041,0.032536152
314,3202.58701636,0.032620906
315,3306.19793243,0.032690741
316,3306.19793243,0.032766047
317,3167.91998538,0.032836931
318,3167.91998538,0.0329163
319,3139.99741769,0.032985688
320,3174.32351146,0.033055689
321,3219.5443573,0.033126229
322,3189.46411349,0.033196422
323,3192.58784628,0.033266731
324,3206.2077972,0.033336093
325,3144.04923115,0.033424036
326,3192.70552747,0.033493655
327,3254.2034602,0.033561427
328,3218.00227902,0.033630319
329,3288.27101172,0.033705994
330,3208.65874235,0.033776621
331,3175.14688691,0.03384913
332,3289.8945129,0.033930194
333,3287.16405022,0.033999261
334,3217.94401228,0.034067958
335,3148.13481577,0.034137244
336,3163.6476462,0.034207742
337,3331.5971715,0.034281762
338,3331.5971715,0.034351839
339,3331.5971715,0.034421991
340,3331.5971715,0.034504289
341,3331.5971715,0.034572529
342,3254.10172653,0.034642596
343,3327.60231076,0.034712163
344,3216.10789657,0.034809556
345,3185.20532037,0.034918296
346,3251.90905911,0.035007231
347,3182.01687039,0.035080386
348,3136.56383501,0.03515049
349,3161.58356131,0.035220049
350,3161.58356131,0.035287708
351,3161.58356131,0.035360253
352,3159.64781375,0.03548301
353,3166.9958862,0.035563329
354,3181.81443774,0.035635263
355,3201.63025945,0.035708382
356,3201.63025945,0.035777948
357,3336.97824235,0.035847159
358,3336.97824235,0.035916589
359,3295.20802401,0.036009036
360,3307.55762862,0.036082711
361,3307.55762862,0.036155975
362,3318.36390128,0.036241816
363,3318.36390128,0.036314016
364,3318.36390128,0.036401691
365,3170.3059728,0.036472035
366,3167.50791027,0.0365409
367,3210.65653712,0.036611319
368,3238.23000171,0.036680281
369,3217.48778104,0.03675059
370,3217.48778104,0.036819991
371,3263.43943552,0.036889815
372,3278.13663581,0.036960143
373,3300.18896685,0.037035501
374,3324.58247825,0.037122042
375,3324.58247825,0.037201482
376,3249.91850949,0.037275633
377,3231.67631682,0.037350804
378,3300.03115133,0.037425688
379,3221.1030349,0.037512755
380,3212.16396002,0.03758826
381,3202.46492818,0.037662645
382,3245.67275117,0.037742967
383,3155.85017757,0.037818121
384,3237.84318316,0.037893042
385,3246.59926742,0.037968361
386,3197.34567668,0.038041374
387,3143.38860564,0.038131514
388,3242.17841106,0.038218638
389,3215.48876623,0.03837595
390,3246.24944124,0.038490809
391,3246.24944124,0.038585866
392,3333.42834595,0.038682484
393,3333.42834595,0.038758308
394,3392.4805063,0.038884322
395,3392.4805063,0.038968901
396,3333.42834595,0.039044866
397,3303.99443488,0.039122909
398,3280.46649633,0.039305048
399,3269.46898173,0.03939878
400,3304.04810956,0.039490581
401,3304.04810956,0.03958522
402,3242.20150126,0.039673246
403,3208.64022955,0.039761615
404,3193.54913839,0.03986382
405,3165.57520303,0.039951699
406,3171.37754775,0.040037731
407,3283.17217401,0.040130775
408,3283.17217401,0.040218812
409,3283.17217401,0.040341263
410,3283.17217401,0.040416267
411,3379.90431456,0.040491171
412,3379.90431456,0.040596877
413,3225.78380458,0.04067353
414,3159.03206026,0.040746874
415,3239.96051585,0.040833776
416,3239.96051585,0.040910391
417,3214.33049098,0.040981626
418,3226.23870734,0.041052673
419,3221.27096609,0.041126735
420,3221.27096609,0.04119615
421,3111.36810423,0.041266808
