iterations,fitness,time
0,2617.13830374,0.008397706
1,2817.79582636,0.01570928
2,2903.60163664,0.023086893
3,3197.86558861,0.03034147
4,3195.95856638,0.03745306
5,3290.48589391,0.04426929
6,3341.27054053,0.052773221
7,3409.0912543,0.060336312
8,3409.32741725,0.069595548
9,3501.45138834,0.075354116
10,3464.880954,0.081435754
11,3553.59273812,0.086705819
12,3577.66483431,0.092830617
13,3575.27102387,0.098887787
14,3591.15933698,0.103534926
15,3601.32346999,0.109569491
16,3588.65511589,0.115618457
17,3613.73598886,0.120162532
18,3621.65822469,0.126134398
19,3612.93734611,0.13229517
20,3628.90404529,0.136909629
21,3637.19605889,0.142877714
22,3634.02871389,0.148855127
23,3637.03086924,0.153459009
24,3648.88485157,0.184848898
25,3653.69296483,0.18841267
26,3652.78568107,0.191240818
27,3656.81669762,0.193926965
28,3653.69296483,0.196740131
29,3653.69296483,0.199451754
30,3654.5321709,0.202185843
31,3653.69296483,0.204870709
32,3656.81669762,0.207374327
33,3656.81669762,0.210045831
34,3656.81669762,0.212534013
35,3656.20128745,0.21584647
36,3654.7641621,0.218366529
37,3654.7641621,0.220866361
38,3663.39796258,0.224089068
39,3654.7641621,0.22688027
40,3653.69296483,0.229438352
41,3651.64042931,0.23210054
42,3653.30954586,0.234754886
43,3653.46097363,0.237457173
44,3651.64042931,0.240103695
45,3653.42554146,0.242666476
46,3651.64042931,0.245304585
47,3644.67574538,0.247789363
48,3644.48567998,0.250309186
49,3644.67574538,0.252800514
50,3651.75642491,0.255491179
51,3645.72758598,0.257992698
52,3653.30954586,0.260561506
53,3653.42554146,0.263184055
54,3645.72758598,0.265875154
55,3645.72758598,0.26854581
56,3644.55974978,0.271029127
57,3653.71177104,0.273705547
58,3647.79947817,0.276353195
59,3647.79947817,0.278702101
60,3644.67574538,0.281168499
61,3653.30954586,0.283598757
62,3651.64042931,0.286151427
63,3653.30954586,0.28847851
64,3651.64042931,0.290822448
65,3651.64042931,0.29317532
66,3651.64042931,0.295548141
67,3651.7181586,0.297787784
68,3653.30954586,0.300098453
69,3653.30954586,0.302345351
70,3663.39796258,0.304882749
71,3651.64042931,0.307478438
72,3651.64042931,0.309855462
73,3651.64042931,0.312066296
74,3653.30954586,0.314533653
75,3649.65527366,0.316792608
76,3651.64042931,0.318956323
77,3651.64042931,0.321152479
78,3641.95423778,0.323682974
79,3645.72758598,0.327586441
80,3641.82016272,0.329985593
81,3641.66800819,0.332074616
82,3651.56270003,0.335036792
83,3641.66800819,0.337655907
84,3651.56270003,0.339862229
85,3651.67869562,0.342250519
86,3653.30954586,0.344358247
87,3653.30954586,0.346484318
88,3651.69677509,0.348683668
89,3651.56270003,0.350811596
90,3641.95423778,0.352976664
91,3653.30954586,0.355482238
92,3653.30954586,0.358016933
93,3645.72758598,0.360164949
94,3641.55201259,0.362240072
95,3641.55201259,0.364293849
96,3641.55201259,0.366657124
97,3651.64042931,0.368937404
98,3653.30954586,0.371152394
99,3647.79947817,0.373289338
100,3653.30954586,0.375494429
101,3647.79947817,0.377787238
102,3647.79947817,0.380249178
103,3647.79947817,0.382401675
104,3647.79947817,0.384545082
105,3651.64042931,0.386665932
106,3647.79947817,0.388831293
107,3653.30954586,0.391035156
108,3647.79947817,0.39319112
109,3647.79947817,0.395334375
110,3647.79947817,0.397438714
111,3647.79947817,0.399704152
112,3653.30954586,0.40196098
113,3647.79947817,0.404239435
114,3653.30954586,0.406450621
115,3653.30954586,0.408630598
116,3653.30954586,0.410740108
117,3653.57769598,0.412960778
118,3653.71177104,0.415217479
119,3653.30954586,0.417406453
120,3653.30954586,0.419636111
121,3653.30954586,0.421748833
122,3653.30954586,0.423970323
123,3653.30954586,0.426141513
124,3653.57769598,0.428457932
125,3653.30954586,0.430519344
126,3651.64042931,0.43266569
127,3651.64042931,0.435078117
128,3651.64042931,0.437159525
129,3651.64042931,0.439330684
130,3651.64042931,0.441624725
131,3651.64042931,0.4436903
132,3653.30954586,0.445851282
133,3651.77450438,0.448036897
134,3653.30954586,0.450410236
135,3653.30954586,0.453074739
136,3651.64042931,0.455407604
137,3653.30954586,0.457653286
138,3651.64042931,0.45990314
139,3653.30954586,0.462086608
140,3651.77450438,0.464300056
141,3653.30954586,0.4664633
142,3651.64042931,0.468651009
143,3651.77450438,0.47096076
144,3651.64042931,0.473288639
145,3653.30954586,0.475481188
146,3654.7641621,0.477732168
147,3663.32023329,0.479978949
148,3651.64042931,0.482141713
149,3651.64042931,0.484453925
150,3651.64042931,0.486647486
151,3653.30954586,0.488767309
152,3645.72758598,0.491077877
153,3651.64042931,0.49326896
154,3651.64042931,0.495310128
155,3644.67574538,0.497701768
156,3651.56270003,0.499827505
157,3651.56270003,0.502014843
158,3644.67574538,0.504075008
159,3641.95423778,0.506296239
160,3647.79947817,0.50854763
161,3647.93355323,0.510656747
162,3653.30954586,0.512785788
163,3663.32023329,0.514982895
164,3651.64042931,0.517141417
165,3647.79947817,0.519287512
166,3651.56270003,0.52142472
167,3651.56270003,0.523623915
168,3651.56270003,0.525752973
169,3647.79947817,0.527803392
170,3651.56270003,0.52982283
171,3651.64042931,0.531857633
172,3647.79947817,0.534015916
173,3651.56270003,0.536026473
174,3645.72758598,0.538006966
175,3644.67574538,0.540086905
176,3653.30954586,0.542164107
177,3653.30954586,0.544364977
178,3651.64042931,0.546565373
179,3651.64042931,0.548734583
180,3651.75642491,0.550824191
181,3653.30954586,0.553060082
182,3651.64042931,0.555209042
183,3651.64042931,0.557342917
184,3651.75642491,0.559446627
185,3657.65590369,0.561613877
186,3651.56270003,0.563850931
187,3653.30954586,0.566062451
188,3655.16534135,0.568268883
189,3651.56270003,0.570419535
190,3643.63979928,0.572646823
191,3647.91547377,0.574908553
192,3651.56270003,0.577097479
193,3651.64042931,0.579300105
194,3643.63979928,0.581536698
195,3641.95423778,0.583618891
196,3641.95423778,0.58587127
197,3645.72758598,0.587853946
198,3644.48567998,0.589809473
199,3651.64042931,0.591943936
200,3641.82016272,0.594163313
201,3643.63979928,0.596288856
202,3644.48567998,0.59838424
203,3645.72758598,0.600447834
204,3653.57769598,0.602575681
205,3653.30954586,0.604637406
206,3653.30954586,0.60680988
207,3653.30954586,0.608874803
208,3641.55201259,0.610879798
209,3647.79947817,0.61282862
210,3641.68608766,0.614870722
211,3643.63979928,0.617034205
212,3651.56270003,0.619564073
213,3651.64042931,0.621587424
214,3645.72758598,0.623594731
215,3651.64042931,0.625609223
216,3653.30954586,0.627810104
217,3651.56270003,0.630451262
218,3641.82016272,0.632646507
219,3651.56270003,0.634821638
220,3644.48567998,0.637029272
221,3653.30954586,0.639148953
222,3653.57769598,0.642468957
223,3653.30954586,0.644726411
224,3644.67574538,0.646863749
225,3651.64042931,0.648982562
226,3651.64042931,0.65097505
227,3647.79947817,0.653052661
228,3647.79947817,0.65521907
229,3653.30954586,0.657267558
230,3653.30954586,0.659246048
231,3653.30954586,0.661242442
232,3653.57769598,0.663496507
233,3663.32023329,0.665504616
234,3653.30954586,0.66759087
235,3653.57769598,0.66974019
236,3663.04997578,0.671798894
237,3651.64042931,0.673905993
238,3651.64042931,0.675971291
239,3651.56270003,0.67808363
240,3651.56270003,0.680052278
241,3651.56270003,0.682002973
242,3651.56270003,0.684043334
243,3651.56270003,0.686099286
244,3651.56270003,0.688124322
245,3651.67869562,0.690259824
246,3651.56270003,0.692368786
247,3641.55201259,0.694443336
248,3641.68608766,0.696528599
249,3645.72758598,0.698600224
250,3654.7641621,0.700742836
251,3653.30954586,0.702768613
252,3641.55201259,0.704714279
253,3641.55201259,0.706787784
254,3651.64042931,0.7087883
255,3643.63979928,0.710853897
256,3645.72758598,0.712983724
257,3653.59577544,0.715191448
258,3648.70676193,0.717297062
259,3644.67574538,0.719281589
260,3651.56270003,0.721429499
261,3651.64042931,0.723361654
262,3651.64042931,0.725443218
263,3651.64042931,0.727570872
264,3651.64042931,0.729607524
265,3647.79947817,0.731640589
266,3644.48567998,0.733644925
267,3651.64042931,0.735626113
268,3641.82016272,0.737658218
269,3651.64042931,0.739629315
270,3651.64042931,0.741688079
271,3651.64042931,0.743761927
272,3651.56270003,0.745818792
273,3653.30954586,0.74791325
274,3651.64042931,0.749926219
275,3647.79947817,0.751945521
276,3653.30954586,0.753973087
277,3651.56270003,0.755936214
278,3653.30954586,0.758003302
279,3653.30954586,0.760016032
280,3651.64042931,0.762042548
281,3654.7641621,0.764171858
282,3651.64042931,0.766098602
283,3651.64042931,0.768047203
284,3651.64042931,0.770256604
285,3651.64042931,0.772415495
286,3651.64042931,0.775029131
287,3647.79947817,0.777108728
288,3653.30954586,0.779283876
289,3653.30954586,0.781440282
290,3656.43327865,0.783486152
291,3653.30954586,0.78558
292,3653.30954586,0.787798353
293,3653.44362092,0.789936223
