iterations,fitness,time
0,2024.47219499,6.98140000001e-05
1,2021.53852761,8.01790000001e-05
2,2059.38149611,8.86760000002e-05
3,2059.38149611,0.000101077
4,2096.78319631,0.000120216
5,1957.20003313,0.000128568
6,1859.29862645,0.000136586
7,1810.61369395,0.000145486
8,1867.99038697,0.000153108
9,1916.67531947,0.000160422
10,1846.55356087,0.000172295
11,1970.10131899,0.000179844
12,1927.06879922,0.000195103
13,1955.56189036,0.000201431
14,1907.61704883,0.000208047
15,1808.90140412,0.000218512
16,1841.53028952,0.000225127
17,1785.9167325,0.000235404
18,1785.9167325,0.000242515
19,1687.47183487,0.0002493
20,1818.73169838,0.000258863
21,1914.19705111,0.000265029
22,1883.31011158,0.000272121
23,1938.9236686,0.000281645
24,1922.53116051,0.000288867
25,1845.03571554,0.00029964
26,1864.44571105,0.000305729
27,1864.44571105,0.000312834
28,1864.44571105,0.000330925
29,1880.83821913,0.000343453
30,1864.44571105,0.000350521
31,1864.44571105,0.000357656
32,1959.91106378,0.000363434
33,1939.16884312,0.000370223
34,1952.21391821,0.000376144
35,1955.337651,0.000381984
36,2152.76894043,0.000387448
37,2152.90301549,0.00039304
38,2181.91538527,0.000398477
39,2202.65760593,0.000404332
40,2342.2407691,0.000409872
41,2210.9809056,0.00042018
42,2210.9809056,0.000427581
43,2190.23868494,0.000434768
44,2092.86612811,0.000442836
45,2135.89864787,0.000448715
46,2135.89864787,0.000455565
47,2135.89864787,0.000461857
48,2157.62967473,0.000483858
49,2223.19970708,0.000489186
50,2264.06427268,0.00049469
51,2191.03687394,0.00050149
52,2144.50915288,0.000508041
53,2144.27716168,0.000515335
54,2299.26805162,0.000538219
55,2299.26805162,0.00054529
56,2299.38404722,0.000551038
57,2251.43920569,0.000557812
58,2251.43920569,0.000564968
59,2270.36068994,0.000571885
60,2290.79297274,0.000578885
61,2290.79297274,0.00058674
62,2265.12848819,0.000593257
63,2215.95096393,0.000602505
64,2244.44405507,0.000608632
65,2254.53247179,0.000614035
66,2254.53247179,0.000620572
67,2254.53247179,0.000626243
68,2254.53247179,0.000642491
69,2243.66695836,0.000671349
70,2154.93625218,0.000681451
71,2173.85773643,0.000686583
72,2125.9128949,0.000692729
73,2125.9128949,0.000698684
74,2108.51946144,0.000707217
75,2205.89201827,0.000712715
76,2222.92362078,0.000717704
77,2231.62033751,0.000722399
78,2231.50434192,0.000728096
79,2249.81190322,0.000732915
80,2172.31645825,0.000741482
81,2195.83152478,0.000747228
82,2185.82083735,0.000753321
83,2160.15635281,0.000762506
84,2225.78628456,0.000767389
85,2225.78628456,0.000772912
86,2177.10000614,0.000778147
87,2265.83071232,0.000785238
88,2228.42901213,0.000791305
89,2209.50752787,0.000796631
90,2161.77485151,0.000801948
91,2273.9799521,0.00082026
92,2273.9799521,0.000828464
93,2273.9799521,0.00083499
94,2125.90648503,0.000840633
95,2135.99490175,0.000850899
96,2119.68045905,0.000857337
97,2073.15273799,0.000866269
98,2066.88937792,0.000871475
99,1989.39393295,0.000879812
100,1989.39393295,0.000885269
101,1969.98393744,0.0008932
102,1908.21005839,0.000898978
103,2047.79322156,0.000907082
104,2047.56123036,0.000912589
105,2051.73680374,0.000920613
106,2054.67047113,0.000925167
107,2209.66136107,0.000933502
108,2200.86035891,0.000939273
109,2266.49029066,0.000945336
110,2266.49029066,0.000950987
111,2263.36655788,0.000956275
112,2219.00120479,0.000961549
113,2219.13527985,0.000966094
